title,year,budget,gross,country,imdb_score,facebook_likes
Reservoir Dogs,1992,1200000,2812029,USA,8.4,19000
Oldboy,2003,3000000,2181290,South Korea,8.4,43000
Princess Mononoke,1997,2400000000,2298191,Japan,8.4,11000
Aliens,1986,18500000,85200000,USA,8.4,18000
Requiem for a Dream,2000,4500000,3609278,USA,8.4,38000
Amélie,2001,77000000,33201661,France,8.4,39000
Lawrence of Arabia,1962,15000000,6000000,UK,8.4,11000
Das Boot,1981,14000000,11433134,West Germany,8.4,11000
Baahubali: The Beginning,2015,18026148,6498000,India,8.4,21000
Star Wars: Episode VI - Return of the Jedi,1983,32500000,309125409,USA,8.4,14000
The Other Dream Team,2012,500000,133778,USA,8.4,0
WALL·E,2008,180000000,223806889,USA,8.4,16000
Once Upon a Time in America,1984,30000000,5300000,Italy,8.4,12000
American Beauty,1999,15000000,130058047,USA,8.4,22000
A Separation,2011,500000,7098492,Iran,8.4,48000
Monty Python and the Holy Grail,1975,229575,1229197,UK,8.3,14000
Scarface,1983,25000000,44700000,USA,8.3,19000
Raging Bull,1980,18000000,45250,USA,8.3,0
Good Will Hunting,1997,10000000,138339411,USA,8.3,31000
The Sting,1973,5500000,159600000,USA,8.3,0
Toy Story,1995,30000000,191796233,USA,8.3,0
Toy Story 3,2010,200000000,414984497,USA,8.3,30000
Hoop Dreams,1994,700000,7830611,USA,8.3,0
Some Like It Hot,1959,2883848,25000000,USA,8.3,10000
Indiana Jones and the Last Crusade,1989,48000000,197171806,USA,8.3,0
Batman Begins,2005,150000000,205343774,USA,8.3,15000
L.A. Confidential,1997,35000000,64604977,USA,8.3,11000
Downfall,2004,13500000,5501940,Germany,8.3,14000
Inside Out,2015,175000000,356454367,USA,8.3,118000
Amadeus,1984,18000000,51600000,USA,8.3,16000
No End in Sight,2007,2000000,1430185,USA,8.3,0
Room,2015,13000000,14677654,Ireland,8.3,72000
Eternal Sunshine of the Spotless Mind,2004,20000000,34126138,USA,8.3,52000
Unforgiven,1992,14400000,101157447,USA,8.3,10000
Up,2009,175000000,292979556,USA,8.3,27000
Inglourious Basterds,2009,75000000,120523073,USA,8.3,42000
Metropolis,1927,6000000,26435,Germany,8.3,12000
Snatch,2000,6000000,30093107,UK,8.3,27000
Snatch,2000,6000000,30093107,UK,8.3,27000
2001: A Space Odyssey,1968,12000000,56715371,UK,8.3,24000
The Hunt,2012,3800000,610968,Denmark,8.3,60000
"Lock, Stock and Two Smoking Barrels",1998,960000,3650677,UK,8.2,21000
On the Waterfront,1954,910000,9600000,USA,8.2,0
Incendies,2010,6800000,6857096,Canada,8.2,37000
V for Vendetta,2005,54000000,70496802,USA,8.2,48000
Casino,1995,52000000,42438300,USA,8.2,11000
How to Train Your Dragon,2010,165000000,217387997,USA,8.2,33000
The Big Lebowski,1998,15000000,17439163,USA,8.2,35000
Captain America: Civil War,2016,250000000,407197282,USA,8.2,72000
Gone with the Wind,1939,3977000,198655278,USA,8.2,16000
The Thing,1982,15000000,13782838,USA,8.2,23000
A Beautiful Mind,2001,58000000,170708996,USA,8.2,29000
Trainspotting,1996,3500000,16501785,UK,8.2,21000
Warrior,2011,25000000,13651662,USA,8.2,77000
The Bridge on the River Kwai,1957,3000000,27200000,UK,8.2,0
The Act of Killing,2012,1000000,484221,UK,8.2,20000
Gran Torino,2008,33000000,148085755,USA,8.2,28000
Into the Wild,2007,15000000,18352454,USA,8.2,76000
Finding Nemo,2003,94000000,380838870,USA,8.2,11000
Blade Runner,1982,28000000,27000000,USA,8.2,34000
Howl's Moving Castle,2004,24000000,4710455,Japan,8.2,13000
The Wolf of Wall Street,2013,100000000,116866727,USA,8.2,138000
Pan's Labyrinth,2006,13500000,37623143,Spain,8.2,27000
Die Hard,1988,28000000,81350242,USA,8.2,25000
The Secret in Their Eyes,2009,2000000,20167424,Argentina,8.2,33000
Rocky,1976,960000,117235247,USA,8.1,0
The Bourne Ultimatum,2007,110000000,227137090,USA,8.1,0
The Revenant,2015,135000000,183635922,USA,8.1,190000
The Celebration,1998,1300000,1647780,Denmark,8.1,5000
Nothing But a Man,1964,160000,12438,USA,8.1,363
The Princess Bride,1987,16000000,30857814,USA,8.1,33000
The Imitation Game,2014,14000000,91121452,UK,8.1,165000
Sin City,2005,40000000,74098862,USA,8.1,13000
Prisoners,2013,46000000,60962878,USA,8.1,86000
Stand by Me,1986,8000000,52287414,USA,8.1,24000
The Sixth Sense,1999,40000000,293501675,USA,8.1,14000
Groundhog Day,1993,14600000,70906973,USA,8.1,38000
Million Dollar Baby,2004,30000000,100422786,USA,8.1,14000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,140000000,305388685,USA,8.1,10000
The Grand Budapest Hotel,2014,25000000,59073773,USA,8.1,149000
Akira,1988,1100000000,439162,Japan,8.1,0
The Wizard of Oz,1939,2800000,22202612,USA,8.1,14000
The Sea Inside,2004,10000000,2086345,Spain,8.1,0
No Country for Old Men,2007,25000000,74273505,USA,8.1,21000
Tae Guk Gi: The Brotherhood of War,2004,12800000,1110186,South Korea,8.1,0
Shutter Island,2010,80000000,127968405,USA,8.1,53000
Spotlight,2015,20000000,44988180,USA,8.1,80000
In the Shadow of the Moon,2007,2000000,1134049,UK,8.1,0
The Truman Show,1998,60000000,125603360,USA,8.1,18000
Mad Max: Fury Road,2015,150000000,153629485,Australia,8.1,191000
Gone Girl,2014,61000000,167735396,USA,8.1,146000
The Best Years of Our Lives,1946,2100000,23650000,USA,8.1,0
The Help,2011,25000000,169705587,USA,8.1,75000
Rush,2013,38000000,26903709,UK,8.1,83000
Jurassic Park,1993,63000000,356784000,USA,8.1,19000
Amores Perros,2000,2000000,5383834,Mexico,8.1,11000
Donnie Darko,2001,4500000,727883,USA,8.1,33000
"Monsters, Inc.",2001,115000000,289907418,USA,8.1,0
12 Years a Slave,2013,20000000,56667870,USA,8.1,83000
The Avengers,2012,220000000,623279547,USA,8.1,123000
Guardians of the Galaxy,2014,170000000,333130696,USA,8.1,96000
Woodstock,1970,600000,13300000,USA,8.1,0
Hotel Rwanda,2004,17500000,23472900,UK,8.1,12000
Elite Squad,2007,4000000,8060,Brazil,8.1,11000
The Terminator,1984,6500000,38400000,UK,8.1,13000
Kill Bill: Vol. 1,2003,30000000,70098138,USA,8.1,13000
There Will Be Blood,2007,25000000,40218903,USA,8.1,16000
Platoon,1986,6000000,137963328,UK,8.1,9000
Butch Cassidy and the Sundance Kid,1969,6000000,102308900,USA,8.1,0
The Martian,2015,108000000,228430993,USA,8.1,153000
Deadpool,2016,58000000,363024263,USA,8.1,117000
The Avengers,2012,220000000,623279547,USA,8.1,123000
Before Sunrise,1995,2500000,5400000,USA,8.1,22000
Annie Hall,1977,4000000,39200000,USA,8.1,0
The Perks of Being a Wallflower,2012,13000000,17738570,USA,8.0,131000
Dancer in the Dark,2000,12800000,4157491,Denmark,8.0,0
The Exorcist,1973,8000000,204565000,USA,8.0,18000
True Romance,1993,13000000,12281500,USA,8.0,15000
Slumdog Millionaire,2008,15000000,141319195,UK,8.0,13000
Jaws,1975,8000000,260000000,USA,8.0,21000
Magnolia,1999,37000000,22450975,USA,8.0,13000
Black Swan,2010,13000000,106952327,USA,8.0,106000
Blood Diamond,2006,100000000,57366262,Germany,8.0,14000
Casino Royale,2006,150000000,167007184,UK,8.0,0
Brazil,1985,15000000,9929000,UK,8.0,16000
In Bruges,2008,15000000,7757130,UK,8.0,32000
Life of Pi,2012,120000000,124976634,USA,8.0,122000
JFK,1991,40000000,70405498,France,8.0,0
Mulholland Drive,2001,15000000,7219578,France,8.0,16000
Casino Royale,2006,150000000,167007184,UK,8.0,0
Doctor Zhivago,1965,11000000,111722000,USA,8.0,7000
"Blood In, Blood Out",1993,35000000,4496583,USA,8.0,6000
Serenity,2005,40000000,25335935,USA,8.0,14000
The Pursuit of Happyness,2006,55000000,162586036,USA,8.0,32000
Kill Bill: Vol. 2,2004,30000000,66207920,USA,8.0,0
Persepolis,2007,7300000,4443403,France,8.0,14000
Boyhood,2014,4000000,25359200,USA,8.0,92000
X-Men: Days of Future Past,2014,200000000,233914986,USA,8.0,82000
Cinderella Man,2005,88000000,61644321,USA,8.0,0
Catch Me If You Can,2002,52000000,164435221,USA,8.0,15000
Ratatouille,2007,150000000,206435493,USA,8.0,10000
Rain Man,1988,25000000,172825435,USA,8.0,12000
The Straight Story,1999,10000000,6197866,France,8.0,0
The Iron Giant,1999,70000000,23159305,USA,8.0,0
Before Sunset,2004,2700000,5792822,USA,8.0,13000
A Fistful of Dollars,1964,200000,3500000,Italy,8.0,0
Sling Blade,1996,890000,24475416,USA,8.0,0
Aladdin,1992,28000000,217350219,USA,8.0,0
Winged Migration,2001,160000000,10762178,France,8.0,1000
Dallas Buyers Club,2013,5000000,27296514,USA,8.0,65000
Shaun of the Dead,2004,4000000,13464388,UK,8.0,19000
Dances with Wolves,1990,22000000,184208848,USA,8.0,0
Waltz with Bashir,2008,1500000,2283276,Israel,8.0,0
Fiddler on the Roof,1971,9000000,50000000,USA,8.0,0
Young Frankenstein,1974,2800000,86300000,USA,8.0,14000
The King's Speech,2010,15000000,138795342,UK,8.0,64000
Her,2013,23000000,25556065,USA,8.0,148000
Star Trek,2009,150000000,257704099,USA,8.0,19000
The Sound of Music,1965,8200000,163214286,USA,8.0,15000
Sicko,2007,9000000,24530513,USA,8.0,0
The Artist,2011,15000000,44667095,France,8.0,30000
The Incredibles,2004,92000000,261437578,USA,8.0,0
Bowling for Columbine,2002,4000000,21244913,Germany,8.0,4000
My Name Is Khan,2010,12000000,4018695,India,8.0,27000
Big Fish,2003,70000000,66257002,USA,8.0,26000
Dead Poets Society,1989,16400000,95860116,USA,8.0,23000
District 9,2009,30000000,115646235,South Africa,8.0,22000
Mystic River,2003,25000000,90135191,USA,8.0,12000
Central Station,1998,2900000,5595428,Brazil,8.0,0
The Bourne Identity,2002,60000000,121468960,USA,7.9,0
Children of Men,2006,76000000,35286428,USA,7.9,17000
Before Midnight,2013,3000000,8114507,USA,7.9,62000
The Hateful Eight,2015,44000000,54116191,USA,7.9,114000
Ernest & Celestine,2012,9600000,71442,France,7.9,0
The Insider,1999,68000000,28965197,USA,7.9,0
Hero,2002,31000000,84961,China,7.9,0
Moon,2009,5000000,5009677,UK,7.9,47000
Do the Right Thing,1989,6500000,27545445,USA,7.9,0
Crash,2004,6500000,54557348,Germany,7.9,18000
E.T. the Extra-Terrestrial,1982,10500000,434949459,USA,7.9,34000
Amour,2012,8900000,225377,France,7.9,33000
The Second Mother,2015,4000000,375723,Brazil,7.9,0
Toy Story 2,1999,90000000,245823397,USA,7.9,0
Nightcrawler,2014,8500000,32279955,USA,7.9,65000
Little Miss Sunshine,2006,8000000,59889948,USA,7.9,15000
Crash,2004,6500000,54557348,Germany,7.9,18000
The Fighter,2010,25000000,93571803,USA,7.9,36000
Nine Queens,2000,1500000,1221261,Argentina,7.9,0
Veer-Zaara,2004,7000000,2921738,India,7.9,2000
Captain Phillips,2013,55000000,107100855,USA,7.9,65000
The Wrestler,2008,6000000,26236603,USA,7.9,10000
The Chorus,2004,5500000,3629758,France,7.9,0
Almost Famous,2000,60000000,32522352,USA,7.9,15000
Shrek,2001,60000000,267652016,USA,7.9,0
Avatar,2009,237000000,760505847,USA,7.9,33000
The Right Stuff,1983,27000000,21500000,USA,7.9,0
Taken,2008,25000000,145000989,France,7.9,29000
The Notebook,2004,29000000,64286,USA,7.9,57000
Big Hero 6,2014,165000000,222487711,USA,7.9,41000
The Untouchables,1987,25000000,76270454,USA,7.9,0
Straight Outta Compton,2015,28000000,161029270,USA,7.9,76000
The Hobbit: An Unexpected Journey,2012,180000000,303001229,USA,7.9,166000
Hot Fuzz,2007,8000000,23618786,UK,7.9,17000
The Hobbit: The Desolation of Smaug,2013,225000000,258355354,USA,7.9,83000
How to Train Your Dragon 2,2014,145000000,176997107,USA,7.9,46000
Once,2007,180000,9437933,Ireland,7.9,26000
Hero,2002,31000000,84961,China,7.9,0
Halloween,1978,300000,47000000,USA,7.9,12000
Edge of Tomorrow,2014,178000000,100189501,USA,7.9,77000
Edward Scissorhands,1990,20000000,56362352,USA,7.9,16000
Boogie Nights,1997,15000000,26384919,USA,7.9,0
My Fair Lady,1964,17000000,72000000,USA,7.9,0
Walk the Line,2005,28000000,119518352,USA,7.9,11000
"4 Months, 3 Weeks and 2 Days",2007,590000,1185783,Romania,7.9,14000
Glory,1989,18000000,26830000,USA,7.9,0
Halloween,1978,300000,47000000,USA,7.9,12000
The Blues Brothers,1980,27000000,54200000,USA,7.9,14000
Letters from Iwo Jima,2006,19000000,13753931,USA,7.9,5000
Ed Wood,1994,18000000,5887457,USA,7.9,0
Iron Man,2008,140000000,318298180,USA,7.9,10000
Halloween,1978,300000,47000000,USA,7.9,12000
Glory,1989,18000000,26830000,USA,7.9,0
The World's Fastest Indian,2005,25000000,5128124,New Zealand,7.9,11000
The Remains of the Day,1993,11500000,22954968,UK,7.9,0
"Crouching Tiger, Hidden Dragon",2000,15000000,128067808,Taiwan,7.9,0
Pride & Prejudice,2005,28000000,38372662,France,7.8,17000
The Color Purple,1985,15000000,94175854,USA,7.8,6000
Hamlet,1996,18000000,4414535,UK,7.8,0
The Jungle Book,2016,175000000,362645141,UK,7.8,65000
The Big Short,2015,28000000,70235322,USA,7.8,99000
Moonrise Kingdom,2012,16000000,45507053,USA,7.8,71000
3:10 to Yuma,2007,55000000,53574088,USA,7.8,0
Murderball,2005,1750211,1523883,USA,7.8,0
Lucky Number Slevin,2006,27000000,22494487,Germany,7.8,10000
Lucky Number Slevin,2006,27000000,22494487,Germany,7.8,10000
Glengarry Glen Ross,1992,12500000,10725228,USA,7.8,0
The Verdict,1982,16000000,54000000,USA,7.8,0
Remember the Titans,2000,30000000,115648585,USA,7.8,0
Changeling,2008,55000000,35707327,USA,7.8,14000
Hamlet,1996,18000000,4414535,UK,7.8,0
Ocean's Eleven,2001,85000000,183405771,USA,7.8,0
The White Ribbon,2009,12000000,2222647,Germany,7.8,0
The Bourne Supremacy,2004,75000000,176049130,USA,7.8,0
Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42335698,USA,7.8,114000
Predator,1987,15000000,59735548,USA,7.8,13000
Skyfall,2012,200000000,304360277,UK,7.8,80000
The Lunchbox,2013,1000000,4231500,India,7.8,16000
Mary Poppins,1964,6000000,102300000,USA,7.8,0
Ordinary People,1980,6000000,54800000,USA,7.8,0
Run Lola Run,1998,3500000,7267324,Germany,7.8,0
X-Men: First Class,2011,160000000,146405371,USA,7.8,54000
The Game,1997,50000000,48265581,USA,7.8,25000
Hedwig and the Angry Inch,2001,6000000,3029081,USA,7.8,0
The Curious Case of Benjamin Button,2008,150000000,127490802,USA,7.8,23000
Atonement,2007,30000000,50921738,UK,7.8,12000
Wreck-It Ralph,2012,165000000,189412677,USA,7.8,40000
Man on Wire,2008,1000000,2957978,UK,7.8,0
Office Space,1999,10000000,10824921,USA,7.8,16000
The Girl with the Dragon Tattoo,2011,90000000,102515793,USA,7.8,54000
Captain America: The Winter Soldier,2014,170000000,259746958,USA,7.8,55000
Gangster's Paradise: Jerusalema,2008,2000000,4958,South Africa,7.8,1000
The Lego Movie,2014,60000000,257756197,Australia,7.8,64000
The Jungle Book,2016,175000000,362645141,UK,7.8,65000
Skyfall,2012,200000000,304360277,UK,7.8,80000
Joyeux Noel,2005,22000000,1050445,France,7.8,11000
American Gangster,2007,100000000,130127620,USA,7.8,0
The Fugitive,1993,44000000,183875760,USA,7.8,0
Airplane!,1980,3500000,83400000,USA,7.8,16000
Apocalypto,2006,40000000,50859889,USA,7.8,14000
The Last Emperor,1987,23000000,43984230,China,7.8,0
Top Hat,1935,609000,3000000,USA,7.8,1000
Evil Dead II,1987,3600000,5923044,USA,7.8,0
Silver Linings Playbook,2012,21000000,132088910,USA,7.8,117000
South Park: Bigger Longer & Uncut,1999,21000000,52008288,USA,7.8,0
About Time,2013,12000000,15294553,UK,7.8,105000
The Hangover,2009,35000000,277313371,USA,7.8,24000
Nebraska,2013,12000000,17613460,USA,7.8,28000
The Fault in Our Stars,2014,12000000,124868837,USA,7.8,93000
Donnie Brasco,1997,35000000,41954997,USA,7.8,0
Goldfinger,1964,3000000,51100000,UK,7.8,0
Gattaca,1997,36000000,12339633,USA,7.8,17000
Black Book,2006,21000000,4398392,Netherlands,7.8,0
Fantastic Mr. Fox,2009,40000000,20999103,USA,7.8,15000
The Best Offer,2013,13500000,85433,Italy,7.8,31000
Maurice,1987,2600000,3130592,UK,7.8,963
Blazing Saddles,1974,2600000,119500000,USA,7.8,12000
Happiness,1998,3000000,3000000,USA,7.8,0
Tangled,2010,260000000,200807262,USA,7.8,29000
Being John Malkovich,1999,13000000,22858926,USA,7.8,0
Gravity,2013,100000000,274084951,UK,7.8,147000
The Boy in the Striped Pajamas,2008,12500000,9030581,UK,7.8,38000
The Little Prince,2015,81200000,1339152,France,7.8,31000
Boyz n the Hood,1991,6000000,57504069,USA,7.8,0
Tombstone,1993,25000000,56505065,USA,7.8,11000
"O Brother, Where Art Thou?",2000,26000000,45506619,UK,7.8,16000
Harry Potter and the Prisoner of Azkaban,2004,130000000,249358727,UK,7.8,11000
Back to the Future Part II,1989,40000000,118500000,USA,7.8,12000
Star Trek Into Darkness,2013,190000000,228756232,USA,7.8,92000
The Conjuring 2,2016,40000000,102310175,USA,7.8,40000
Oceans,2009,40000000,19406406,France,7.8,0
Drive,2011,15000000,35054909,USA,7.8,81000
Lost in Translation,2003,4000000,44566004,USA,7.8,17000
What's Eating Gilbert Grape,1993,11000000,9170214,USA,7.8,14000
The Last of the Mohicans,1992,40000000,72455275,USA,7.8,0
Clerks,1994,230000,3151130,USA,7.8,0
Fantasia,1940,2280000,76400000,USA,7.8,3000
Finding Neverland,2004,25000000,51676606,USA,7.8,0
Kung Fu Hustle,2004,20000000,17104669,Hong Kong,7.8,0
The Triplets of Belleville,2003,9500000,7002255,France,7.8,0
Character,1997,4500000,713413,Netherlands,7.8,689
Dangerous Liaisons,1988,14000000,34700000,USA,7.7,0
Zombieland,2009,23600000,75590286,USA,7.7,26000
Kick-Ass,2010,30000000,48043505,UK,7.7,36000
Nowhere in Africa,2001,7000000,6173485,Germany,7.7,802
Fear and Loathing in Las Vegas,1998,18500000,10562387,USA,7.7,15000
Control,2007,4500000,871577,UK,7.7,13000
Dark City,1998,27000000,14337579,Australia,7.7,14000
25th Hour,2002,15000000,13060843,USA,7.7,0
Gettysburg,1993,25000000,10769960,USA,7.7,0
300,2006,65000000,210592590,USA,7.7,13000
Lady Vengeance,2005,4200000000,211667,South Korea,7.7,4000
Good Bye Lenin!,2003,4800000,4063859,Germany,7.7,11000
Frost/Nixon,2008,35000000,18593156,USA,7.7,0
Coraline,2009,60000000,75280058,USA,7.7,10000
The Last King of Scotland,2006,6000000,17605861,UK,7.7,0
Adaptation.,2002,19000000,22245861,USA,7.7,0
Zodiac,2007,65000000,33048353,USA,7.7,12000
Man on Fire,2004,70000000,77862546,USA,7.7,14000
Weekend,2011,120000,469947,UK,7.7,0
Despicable Me,2010,69000000,251501645,USA,7.7,31000
Road to Perdition,2002,80000000,104054514,USA,7.7,0
Y Tu Mamá También,2001,2000000,13622333,Mexico,7.7,0
"Buen Día, Ramón",2013,4000000,100412,Mexico,7.7,0
Billy Elliot,2000,5000000,21994911,UK,7.7,0
Mondays in the Sun,2002,4000000,146402,Spain,7.7,0
The Lady from Shanghai,1947,2300000,7927,USA,7.7,0
Religulous,2008,2500000,12995673,USA,7.7,24000
The Trials of Darryl Hunt,2006,200000,1111,USA,7.7,246
The Sweet Hereafter,1997,5000000,4306697,Canada,7.7,920
Stardust,2007,70000000,38345403,UK,7.7,15000
Shine,1996,5500000,35811509,Australia,7.7,0
Titanic,1997,200000000,658672302,USA,7.7,26000
Close Encounters of the Third Kind,1977,19400870,128300000,USA,7.7,0
This Is England,2006,1500000,327919,UK,7.7,11000
The Machinist,2004,5000000,1082044,Spain,7.7,21000
The Barbarian Invasions,2003,6000000,3432342,Canada,7.7,0
21 Grams,2003,20000000,16248701,USA,7.7,0
Cast Away,2000,90000000,233630478,USA,7.7,23000
Dazed and Confused,1993,6900000,7993039,USA,7.7,10000
Dead Man's Shoes,2004,695393,6013,UK,7.7,0
Vera Drake,2004,11000000,3753806,UK,7.7,0
Match Point,2005,15000000,23089926,UK,7.7,0
The Theory of Everything,2014,15000000,35887263,UK,7.7,90000
End of Watch,2012,7000000,40983001,USA,7.7,38000
Ponyo,2008,34000000,15081783,Japan,7.7,0
Rushmore,1998,9000000,17096053,USA,7.7,5000
Argo,2012,44500000,136019448,USA,7.7,89000
Bloody Sunday,2002,2000000,768045,UK,7.7,0
The Red Violin,1998,10000000,9473382,Canada,7.7,0
The Social Network,2010,40000000,96917897,USA,7.7,74000
Black Hawk Down,2001,92000000,108638745,USA,7.7,10000
Training Day,2001,45000000,76261036,USA,7.7,0
The Fifth Element,1997,93000000,63540020,France,7.7,18000
42nd Street,1933,439000,2300000,USA,7.7,439
Philadelphia,1993,26000000,77324422,USA,7.7,0
Watchmen,2009,130000000,107503316,USA,7.7,18000
The Last Samurai,2003,140000000,111110575,USA,7.7,0
You Can Count on Me,2000,1200000,9180275,USA,7.7,756
The Visual Bible: The Gospel of John,2003,17000000,4068087,Canada,7.7,0
Ray,2004,40000000,75305995,USA,7.7,0
Saw,2004,1200000,55153403,USA,7.7,0
The Great Beauty,2013,9200000,2835886,Italy,7.7,29000
Taxi to the Dark Side,2007,1000000,274661,USA,7.7,0
Ex Machina,2015,15000000,25440971,UK,7.7,109000
The Butterfly Effect,2004,13000000,23947,USA,7.7,15000
Creed,2015,35000000,109712885,USA,7.7,70000
Star Trek II: The Wrath of Khan,1982,11000000,78900000,USA,7.7,0
The Muppet Christmas Carol,1992,12000000,27281507,USA,7.7,0
Brokeback Mountain,2005,14000000,83025853,USA,7.7,13000
Flipped,2010,14000000,1752214,USA,7.7,14000
City of Life and Death,2009,12000000,119922,China,7.7,0
Malcolm X,1992,33000000,48169908,USA,7.7,0
Who Killed the Electric Car?,2006,1000000,1677838,USA,7.7,0
The Blind Side,2009,29000000,255950375,USA,7.7,38000
Minority Report,2002,102000000,132014112,USA,7.7,0
True Grit,2010,38000000,171031347,USA,7.7,36000
A Hard Day's Night,1964,560000,515005,UK,7.7,0
Dangerous Liaisons,1988,14000000,34700000,USA,7.7,0
The Count of Monte Cristo,2002,35000000,54228104,UK,7.7,0
The Station Agent,2003,500000,5739376,USA,7.7,0
Henry V,1989,9000000,10161099,UK,7.7,0
Love Actually,2003,45000000,59365105,UK,7.7,52000
Snow White and the Seven Dwarfs,1937,2000000,184925485,USA,7.7,0
Midnight in Paris,2011,17000000,56816662,Spain,7.7,78000
500 Days of Summer,2009,7500000,32391374,USA,7.7,40000
A Very Long Engagement,2004,47000000,6167817,France,7.7,0
Seven Pounds,2008,55000000,69951824,USA,7.7,26000
Sense and Sensibility,1995,16500000,42700000,USA,7.7,0
The Secret of Kells,2009,6500000,686383,France,7.7,11000
As Good as It Gets,1997,50000000,147637474,USA,7.7,11000
50/50,2011,8000000,34963967,USA,7.7,40000
Eastern Promises,2007,25000000,17114882,USA,7.7,0
West Side Story,1961,6000000,43650000,USA,7.6,0
The Others,2001,17000000,96471845,USA,7.6,20000
Interview with the Vampire: The Vampire Chronicles,1994,60000000,105264608,USA,7.6,11000
Little Children,2006,26000000,5459824,USA,7.6,5000
Stranger Than Fiction,2006,38000000,40137776,USA,7.6,13000
When Harry Met Sally...,1989,16000000,92823600,USA,7.6,0
Superbad,2007,20000000,121463226,USA,7.6,0
Inside Man,2006,45000000,88504640,USA,7.6,0
The Piano,1993,7000000,40158000,New Zealand,7.6,0
Bridge of Spies,2015,40000000,72306065,USA,7.6,55000
Dead Man Walking,1995,11000000,39025000,UK,7.6,0
Kiss Kiss Bang Bang,2005,15000000,4235837,USA,7.6,0
Waiting for Guffman,1996,4000000,2892582,USA,7.6,0
Me Before You,2016,20000000,56154094,UK,7.6,51000
Ice Age,2002,59000000,176387405,USA,7.6,3000
Midnight Run,1988,30000000,38413606,USA,7.6,0
The Thin Red Line,1998,52000000,36385763,USA,7.6,0
The Abyss,1989,69500000,54222000,USA,7.6,0
I Am Sam,2001,22000000,40270895,USA,7.6,15000
The Hurricane,1999,38000000,50668906,USA,7.6,0
The Crow,1994,23000000,50693162,USA,7.6,15000
The Godfather: Part III,1990,54000000,66676062,USA,7.6,0
Moulin Rouge!,2001,52500000,57386369,USA,7.6,10000
Grindhouse,2007,53000000,25031037,USA,7.6,0
The Town,2010,37000000,92173235,USA,7.6,29000
The Impossible,2012,45000000,18996755,Spain,7.6,54000
The Last Temptation of Christ,1988,7000000,8373585,USA,7.6,0
March of the Penguins,2005,8000000,77413017,France,7.6,0
The Damned United,2009,10000000,449558,UK,7.6,0
United 93,2006,15000000,31471430,USA,7.6,0
