title,budget,runtime,revenue,vote_average,vote_count,year,country
The Thing,15000000,109.0,19629760,7.8,1588,1982,US
Big Hero 6,165000000,102.0,652105443,7.8,6135,2014,US
Monty Python and the Holy Grail,400000,91.0,5028948,7.8,1708,1975,GB
Gran Torino,33000000,116.0,269958228,7.8,3086,2008,US
Annie Hall,4000000,93.0,38251425,7.8,1010,1977,US
The Great Escape,4000000,172.0,11744471,7.8,717,1963,US
Lawrence of Arabia,15000000,216.0,69995385,7.8,851,1962,GB
Cries and Whispers,0,91.0,0,7.8,115,1972,SE
Amadeus,18000000,160.0,51973029,7.8,1076,1984,US
The Theory of Everything,15000000,123.0,123726688,7.8,3311,2014,GB
Casino,52000000,178.0,116112375,7.8,1307,1995,FR
The Big Lebowski,15000000,117.0,46189568,7.8,2926,1998,GB
Django Unchained,100000000,165.0,425368238,7.8,10099,2012,US
The Deer Hunter,15000000,183.0,50000000,7.8,921,1978,GB
Shutter Island,80000000,138.0,294804195,7.8,6336,2010,US
The Secret in Their Eyes,2000000,129.0,33965843,7.8,626,2009,AR
The Truman Show,60000000,103.0,264118201,7.8,4537,1998,US
WALL·E,180000000,98.0,521311860,7.8,6296,2008,US
Braveheart,72000000,177.0,210000000,7.7,3336,1995,US
The Best Offer,13500000,124.0,19255873,7.7,704,2013,IT
Warrior,25000000,140.0,23057115,7.7,1272,2011,US
Lilya 4-ever,0,109.0,0,7.7,139,2002,DK
Inside Job,2000000,109.0,7871522,7.7,286,2010,US
Harry Potter and the Prisoner of Azkaban,130000000,141.0,789804554,7.7,5877,2004,GB
Hachi: A Dog's Tale,16000000,93.0,47801389,7.7,1717,2009,GB
Aliens,18500000,137.0,183316455,7.7,3220,1986,GB
Kill Bill: Vol. 1,30000000,111.0,180949000,7.7,4949,2003,US
No Country for Old Men,25000000,122.0,171600000,7.7,3003,2007,US
The Pursuit of Happyness,55000000,117.0,307077295,7.7,2525,2006,US
The Straight Story,10000000,112.0,0,7.7,306,1999,US
Donnie Darko,6000000,113.0,1270522,7.7,3452,2001,US
The Boy in the Striped Pyjamas,12500000,94.0,20416563,7.7,1451,2008,GB
Solaris,0,167.0,0,7.7,357,1972,RU
Unforgiven,14000000,131.0,159157447,7.7,1113,1992,US
Terminator 2: Judgment Day,100000000,137.0,520000000,7.7,4185,1991,FR
V for Vendetta,54000000,132.0,132511035,7.7,4442,2006,DE
The Perks of Being a Wallflower,13000000,102.0,33400000,7.7,2968,2012,US
Downfall,18339750,156.0,92180910,7.7,1037,2004,AT
Gone with the Wind,4000000,238.0,400176459,7.7,970,1939,US
A Beautiful Mind,60000000,135.0,313542341,7.7,3009,2001,US
Network,3800000,121.0,23689877,7.7,381,1976,US
The Bridge on the River Kwai,3000000,161.0,33300000,7.7,542,1957,GB
Raging Bull,18000000,129.0,23000000,7.7,938,1980,US
Catch Me If You Can,52000000,141.0,352114312,7.7,3795,2002,US
Persepolis,7300000,95.0,0,7.7,450,2007,FR
Young Frankenstein,2800000,106.0,86273333,7.7,854,1974,US
Barry Lyndon,11000000,184.0,20000000,7.7,505,1975,GB
The Color Purple,15000000,154.0,146292009,7.7,338,1985,US
Before Sunrise,2500000,105.0,5535405,7.7,959,1995,AT
Raiders of the Lost Ark,18000000,115.0,389925971,7.7,3854,1981,US
Snatch,10000000,103.0,83557872,7.7,2912,2000,GB
My Name Is Khan,12000000,145.0,42345360,7.7,232,2010,IN
Million Dollar Baby,30000000,132.0,216763646,7.7,2439,2004,US
It Happened One Night,325000,105.0,4500000,7.7,275,1934,US
Rush,38000000,123.0,90247624,7.7,2277,2013,DE
L.A. Confidential,35000000,138.0,126216940,7.7,1310,1997,US
Pride & Prejudice,28000000,135.0,121147947,7.7,1358,2005,FR
The Sixth Sense,40000000,107.0,672806292,7.7,3147,1999,US
The Notebook,29000000,123.0,115603229,7.7,3067,2004,US
Rebecca,1288000,130.0,6000000,7.7,336,1940,US
The Celebration,1300000,105.0,0,7.7,207,1998,DK
The Man from Earth,0,87.0,0,7.7,687,2007,US
Bound by Honor,35000000,180.0,0,7.7,115,1993,US
Up,175000000,96.0,735099082,7.7,6870,2009,US
Straight Outta Compton,28000000,147.0,201634991,7.7,1355,2015,US
A Separation,800000,123.0,0,7.7,469,2011,IR
Toy Story,30000000,81.0,373554033,7.7,5269,1995,US
The Wild Bunch,6244087,145.0,638641,7.6,259,1969,US
Jurassic Park,63000000,127.0,920100000,7.6,4856,1993,US
Indiana Jones and the Last Crusade,48000000,127.0,474171806,7.6,3152,1989,US
The Best Years of Our Lives,2100000,172.0,23650000,7.6,143,1946,US
Cat on a Hot Tin Roof,3000000,108.0,17570324,7.6,165,1958,US
Ex Machina,15000000,108.0,36869414,7.6,4737,2015,GB
The Hateful Eight,44000000,167.0,155760117,7.6,4274,2015,US
Days of Heaven,0,94.0,0,7.6,234,1978,US
Me Before You,20000000,110.0,207945075,7.6,2562,2016,US
Central Station,2900000,113.0,5596708,7.6,126,1998,BR
The Iron Giant,70000000,86.0,23159305,7.6,1436,1999,US
Dancer in the Dark,12800000,140.0,40031879,7.6,377,2000,AR
Slumdog Millionaire,15000000,120.0,377910544,7.6,2827,2008,IN
Ernest & Celestine,12516654,78.0,8109160,7.6,142,2012,BE
Judgment at Nuremberg,3000000,186.0,10000000,7.6,155,1961,DE
Do the Right Thing,6500000,120.0,37295445,7.6,292,1989,US
Toy Story 3,200000000,103.0,1066969703,7.6,4597,2010,US
Captain Phillips,55000000,134.0,95000000,7.6,2454,2013,US
Edge of Tomorrow,178000000,113.0,370541256,7.6,4858,2014,AU
Finding Nemo,94000000,100.0,940335536,7.6,6122,2003,US
Kill Bill: Vol. 2,30000000,136.0,152159461,7.6,3948,2004,US
Mulan,90000000,88.0,304320254,7.6,2008,1998,US
Mystic River,25000000,138.0,156822020,7.6,1422,2003,US
Moonrise Kingdom,16000000,94.0,68263166,7.6,1662,2012,US
Pan's Labyrinth,19000000,118.0,83258226,7.6,3041,2006,ES
Captain America: The Winter Soldier,170000000,136.0,714766572,7.6,5764,2014,US
Philadelphia,26000000,125.0,206678440,7.6,988,1993,US
Mulholland Drive,15000000,147.0,20117339,7.6,1477,2001,FR
The Conformist,750000,107.0,0,7.6,127,1970,IT
Moon,5000000,97.0,9760104,7.6,1794,2009,GB
High Noon,730000,85.0,8000000,7.6,334,1952,US
The King's Speech,15000000,118.0,414211549,7.6,2752,2010,GB
Evil Dead II,3600000,84.0,5923044,7.6,742,1987,US
Dances with Wolves,22000000,181.0,424208848,7.6,1046,1990,GB
The Princess Bride,16000000,98.0,30857814,7.6,1486,1987,US
The Martian,108000000,141.0,630161890,7.6,7268,2015,US
The Fault in Our Stars,12000000,125.0,307166834,7.6,3759,2014,US
Pierrot le Fou,300000,110.0,0,7.6,127,1965,FR
Before Sunset,2700000,80.0,15992615,7.6,718,2004,US
Nightcrawler,8500000,117.0,38697217,7.6,3395,2014,US
Amores perros,2000000,154.0,20908467,7.6,521,2000,MX
The Untouchables,25000000,119.0,76270454,7.6,1384,1987,US
The Hustler,2000000,134.0,7600000,7.6,240,1961,US
The Dark Knight Rises,250000000,165.0,1084939099,7.6,9106,2012,US
Touching the Void,0,106.0,13885802,7.6,138,2003,GB
How to Train Your Dragon 2,145000000,102.0,609123048,7.6,3106,2014,US
Big Fish,70000000,125.0,122919055,7.6,1994,2003,US
A Streetcar Named Desire,1800000,125.0,8000000,7.6,281,1951,US
A Fistful of Dollars,200000,99.0,14500000,7.6,883,1964,IT
The Hobbit: The Desolation of Smaug,250000000,161.0,958400000,7.6,4524,2013,NZ
The Little Prince,64000000,92.0,97571250,7.6,756,2015,FR
Rain Man,25000000,133.0,412800000,7.6,1709,1988,US
"Girl, Interrupted",40000000,127.0,0,7.6,721,1999,DE
Boyhood,4000000,164.0,44349000,7.5,1971,2014,US
What's Eating Gilbert Grape,11000000,118.0,30000000,7.5,919,1993,US
Harry Potter and the Goblet of Fire,150000000,157.0,895921036,7.5,5608,2005,GB
The Wave,7500000,107.0,19000000,7.5,841,2008,DE
Brokeback Mountain,14000000,134.0,178043761,7.5,1480,2005,CA
The Lego Movie,60000000,100.0,469160692,7.5,3070,2014,US
A Charlie Brown Christmas,0,25.0,0,7.5,153,1965,US
Rosemary's Baby,3200000,136.0,33395426,7.5,863,1968,US
Little Miss Sunshine,8000000,102.0,100523181,7.5,1686,2006,US
The Game,50000000,129.0,109423648,7.5,1506,1997,US
Ponyo,41677699,100.0,187479518,7.5,926,2008,JP
The Chorus,0,96.0,0,7.5,526,2004,CH
X-Men: Days of Future Past,250000000,131.0,747862775,7.5,6032,2014,GB
The Conversation,1600000,113.0,4420000,7.5,372,1974,US
Still Alice,5000000,99.0,43884652,7.5,1104,2014,US
Fantastic Mr. Fox,40000000,87.0,46471023,7.5,1176,2009,US
How to Train Your Dragon,165000000,98.0,494878759,7.5,4227,2010,US
Cast Away,90000000,143.0,429632142,7.5,3218,2000,US
Rushmore,9000000,93.0,17096053,7.5,676,1998,US
The Blues Brothers,27000000,133.0,115229890,7.5,1065,1980,US
Man on Wire,0,94.0,2957978,7.5,275,2008,GB
Instructions Not Included,5500000,115.0,99067206,7.5,205,2013,MX
The Remains of the Day,11500000,134.0,23237911,7.5,202,1993,GB
Boogie Nights,15000000,155.0,43101594,7.5,796,1997,US
Brazil,15000000,132.0,0,7.5,861,1985,GB
Amour,8900000,127.0,19839492,7.5,400,2012,FR
Rocky,1000000,119.0,117235147,7.5,1791,1976,US
JFK,40000000,189.0,205405498,7.5,502,1991,US
Eraserhead,10000,89.0,7000000,7.5,485,1977,US
Ratatouille,150000000,111.0,623722818,7.5,4369,2007,US
Glengarry Glen Ross,12500000,100.0,10725228,7.5,323,1992,US
Gattaca,36000000,106.0,12532777,7.5,1808,1997,US
Titanic,200000000,194.0,1845034188,7.5,7562,1997,US
The Act of Killing,1000000,115.0,444575,7.5,210,2012,DK
Jaws,7000000,124.0,470654000,7.5,2542,1975,US
Hotel Rwanda,17500000,121.0,38000000,7.5,793,2004,CA
"Lock, Stock and Two Smoking Barrels",1350000,105.0,3897569,7.5,1648,1998,GB
Freedom Writers,21000000,123.0,41170784,7.5,356,2007,DE
The Exorcist,8000000,122.0,441306145,7.5,2005,1973,US
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,143.0,655011224,7.5,6985,2003,US
Harry Potter and the Philosopher's Stone,125000000,152.0,976475550,7.5,7006,2001,GB
Control,0,121.0,8159508,7.5,200,2007,JP
Magnolia,37000000,188.0,48451803,7.5,825,1999,US
"Monsters, Inc.",115000000,92.0,562816256,7.5,5996,2001,US
Seven Pounds,55000000,123.0,168167691,7.5,2039,2008,US
True Romance,12500000,120.0,12281551,7.5,749,1993,US
Night of the Living Dead,114000,96.0,30000000,7.5,580,1968,US
Batman Begins,150000000,140.0,374218673,7.5,7359,2005,GB
I Origins,0,106.0,336472,7.5,1063,2014,US
A Walk to Remember,11000000,101.0,41227069,7.5,1018,2002,US
Baahubali: The Beginning,40000000,159.0,100000000,7.5,135,2015,IN
Platoon,6000000,120.0,138530565,7.5,1205,1986,GB
Shaun of the Dead,4000000,99.0,30039392,7.5,2420,2004,GB
Edward Scissorhands,20000000,105.0,53000000,7.5,3601,1990,US
Die Hard,28000000,131.0,140767956,7.5,3948,1988,US
The Incredibles,92000000,115.0,631442092,7.4,5152,2004,US
Harry Potter and the Half-Blood Prince,250000000,153.0,933959197,7.4,5293,2009,GB
"McFarland, USA",0,128.0,45710059,7.4,213,2015,US
The Sound of Music,8200000,174.0,286214286,7.4,941,1965,US
Office Space,10000000,89.0,12827813,7.4,1050,1999,US
Clerks,27000,92.0,3151130,7.4,755,1994,US
The Verdict,16000000,129.0,53977250,7.4,131,1982,US
Iron Man,140000000,126.0,585174222,7.4,8776,2008,US
My Fair Lady,17000000,170.0,72070731,7.4,352,1964,US
Sling Blade,1000000,135.0,24475416,7.4,231,1996,US
Tangled,260000000,100.0,591794936,7.4,3330,2010,US
Halloween,300000,91.0,70000000,7.4,1035,1978,US
Fiddler on the Roof,9000000,181.0,83304330,7.4,134,1971,US
Hot Fuzz,12000000,121.0,80573774,7.4,2199,2007,GB
Remember the Titans,30000000,113.0,136706683,7.4,821,2000,US
Philomena,12000000,98.0,100129872,7.4,579,2013,GB
The Station Agent,500000,88.0,8679814,7.4,210,2003,US
Weekend,8000,96.0,469947,7.4,163,2011,GB
Butch Cassidy and the Sundance Kid,6000000,110.0,102308889,7.4,650,1969,US
Sympathy for Lady Vengeance,0,115.0,23803308,7.4,356,2005,KR
The Avengers,220000000,143.0,1519557910,7.4,11776,2012,US
Serenity,39000000,119.0,38869464,7.4,1264,2005,US
Donnie Brasco,35000000,127.0,41954997,7.4,1147,1997,US
"Good bye, Lenin!",4800000,121.0,79384880,7.4,586,2003,DE
Fury,68000000,135.0,211817906,7.4,3946,2014,GB
American Sniper,58800000,133.0,542307423,7.4,4469,2014,US
Tae Guk Gi: The Brotherhood of War,0,140.0,15,7.4,133,2004,KR
Doctor Zhivago,11000000,197.0,111858363,7.4,247,1965,IT
Spirit: Stallion of the Cimarron,80000000,83.0,122563539,7.4,831,2002,US
Boyz n the Hood,6500000,112.0,57504069,7.4,364,1991,US
Dazed and Confused,6900000,102.0,7993039,7.4,583,1993,US
Nebraska,12000000,115.0,17654912,7.4,636,2013,US
Mary Poppins,6000000,139.0,102272727,7.4,1183,1964,US
Ordinary People,6000000,124.0,0,7.4,145,1980,US
The Secret Life of Bees,11000000,114.0,38105395,7.4,158,2008,US
The Last King of Scotland,6000000,121.0,48027970,7.4,558,2006,GB
Flipped,14000000,89.0,1755212,7.4,418,2010,US
The Diving Bell and the Butterfly,14000000,112.0,19777647,7.4,283,2007,FR
Children of Men,76000000,109.0,69959751,7.4,2071,2006,GB
High Plains Drifter,5500000,105.0,15700000,7.4,278,1973,US
Groundhog Day,14600000,101.0,70906973,7.4,2301,1993,US
We Need to Talk About Kevin,7000000,112.0,6038942,7.4,677,2011,GB
Indie Game: The Movie,0,96.0,0,7.4,203,2012,CA
In Bruges,15000000,107.0,34533783,7.4,1388,2008,GB
Almost Famous,60000000,122.0,47383689,7.4,797,2000,US
Drive,15000000,100.0,78054825,7.4,3725,2011,US
Star Trek Into Darkness,190000000,132.0,467365246,7.4,4418,2013,US
Deadpool,58000000,108.0,783112979,7.4,10995,2016,US
Billy Elliot,5000000,110.0,110000000,7.4,750,2000,FR
The Others,0,101.0,0,7.4,1660,2001,ES
Rudderless,5000000,105.0,0,7.4,105,2014,US
The French Connection,1800000,104.0,41158757,7.4,422,1971,US
The Age of Adaline,25000000,112.0,65663276,7.4,1990,2015,US
This Is England,2380000,101.0,8176544,7.4,363,2006,GB
Gandhi,22000000,191.0,77737889,7.4,716,1982,IN
"Synecdoche, New York",21000000,124.0,0,7.4,278,2008,US
Harry Potter and the Chamber of Secrets,100000000,161.0,876688482,7.4,5815,2002,DE
Midnight in Paris,30000000,94.0,151119219,7.4,1990,2011,ES
Submarine,0,97.0,864659,7.4,443,2011,GB
Lucky Number Slevin,27000000,110.0,56308881,7.4,1323,2006,DE
Blow,53000000,124.0,83282296,7.4,1317,2001,US
Before Midnight,3000000,108.0,11176469,7.4,568,2013,GR
The Royal Tenenbaums,21000000,110.0,71441250,7.4,1286,2001,US
Willy Wonka & the Chocolate Factory,3000000,100.0,4000000,7.4,798,1971,US
Midnight Cowboy,3600000,113.0,44785053,7.4,299,1969,US
Happiness,3000000,139.0,2807390,7.4,194,1998,US
American Gangster,100000000,157.0,266465037,7.4,1502,2007,GB
The Hunger Games: Catching Fire,130000000,146.0,847423452,7.4,6495,2013,US
The Book Thief,0,131.0,76586316,7.4,1486,2013,DE
The Lost Weekend,1250000,101.0,11000000,7.4,112,1945,US
"Food, Inc.",0,94.0,0,7.4,217,2008,US
Atonement,30000000,123.0,129266061,7.4,1049,2007,GB
The Wizard of Oz,2777000,102.0,33754967,7.4,1642,1939,US
The Conjuring,13000000,112.0,318000141,7.4,3092,2013,US
Selma,20000000,127.0,66787908,7.4,817,2014,GB
Birdman,18000000,119.0,103215094,7.4,4535,2014,US
Tombstone,25000000,130.0,56505065,7.4,626,1993,US
The Last Emperor,23000000,163.0,43984230,7.4,355,1987,FR
Glory,18000000,122.0,26828365,7.4,383,1989,US
Moulin Rouge!,52500000,127.0,179213434,7.4,1300,2001,AU
Lone Survivor,40000000,121.0,149295601,7.4,1526,2013,US
Anastasia,53000000,94.0,139804348,7.4,1432,1997,US
A Christmas Story,0,94.0,19294144,7.4,344,1983,US
Aladdin,28000000,90.0,504050219,7.4,3416,1992,US
Back to the Future Part II,40000000,108.0,332000000,7.4,3829,1989,US
Star Trek,150000000,127.0,385680446,7.4,4518,2009,DE
The Man Who Shot Liberty Valance,3200000,123.0,8000000,7.4,265,1962,US
Harry Potter and the Order of the Phoenix,150000000,138.0,938212738,7.4,5494,2007,GB
Nine Queens,1500000,114.0,0,7.4,153,2000,AR
Man on Fire,70000000,146.0,130293714,7.3,1553,2004,GB
The Evil Dead,350000,85.0,29400000,7.3,894,1981,US
Road to Perdition,80000000,117.0,181001478,7.3,1077,2002,US
Being John Malkovich,13000000,112.0,22863596,7.3,1101,1999,US
Coraline,60000000,100.0,124596398,7.3,1386,2009,US
Black Swan,13000000,108.0,327803731,7.3,4430,2010,US
Gravity,105000000,91.0,716392705,7.3,5751,2013,GB
The Return of the Living Dead,4000000,91.0,14237000,7.3,267,1985,US
10 Things I Hate About You,16000000,97.0,53478166,7.3,1701,1999,US
The Butterfly Effect,13000000,113.0,96060858,7.3,2060,2004,CA
Changeling,55000000,141.0,113020255,7.3,1131,2008,US
The Wrestler,6000000,109.0,44703995,7.3,1000,2008,US
The Crow,15000000,102.0,94000000,7.3,953,1994,US
E.T. the Extra-Terrestrial,10500000,115.0,792910554,7.3,3269,1982,US
Woman in Gold,11000000,120.0,61619773,7.3,440,2015,GB
Frozen,150000000,102.0,1274219009,7.3,5295,2013,US
Coach Carter,30000000,136.0,76669806,7.3,496,2005,DE
The World's Fastest Indian,25000000,127.0,0,7.3,166,2005,NZ
Oceans,0,84.0,19406406,7.3,111,2009,FR
Apollo 13,52000000,140.0,355237933,7.3,1599,1995,US
Mad Max 2: The Road Warrior,2000000,95.0,24600832,7.3,957,1981,AU
Unbroken,65000000,137.0,163442937,7.3,1400,2014,US
The Great Beauty,12400000,142.0,8371085,7.3,720,2013,IT
If I Stay,11000000,106.0,78874843,7.3,1368,2014,US
Creed,37000000,133.0,173567581,7.3,1915,2015,US
A Single Man,7000000,101.0,0,7.3,463,2009,US
The Big Short,28000000,130.0,133346506,7.3,2607,2015,US
The Triplets of Belleville,8000000,80.0,1477676,7.3,231,2003,FR
Frida,12000000,123.0,56298474,7.3,383,2002,MX
Dead Man Walking,11000000,122.0,39363635,7.3,337,1995,US
Patton,12000000,172.0,89800000,7.3,323,1970,US
The Bridges of Madison County,24000000,135.0,182016617,7.3,385,1995,US
Jackie Brown,12000000,154.0,39673162,7.3,1514,1997,US
Star Trek II: The Wrath of Khan,12000000,113.0,96800000,7.3,675,1982,US
The Hundred-Foot Journey,22000000,122.0,88880821,7.3,508,2014,IN
Spellbound,1500000,111.0,7000000,7.3,160,1945,US
Training Day,45000000,122.0,104876233,7.3,1634,2001,AU
Once,160000,85.0,20710513,7.3,453,2007,IE
The Insider,90000000,157.0,60289912,7.3,481,1999,US
The Life of David Gale,50000000,130.0,38955598,7.3,480,2003,DE
Saving Mr. Banks,35000000,125.0,112544580,7.3,1226,2013,AU
Walk the Line,28000000,136.0,186438883,7.3,718,2005,DE
Bowling for Columbine,4000000,120.0,35564473,7.3,453,2002,US
The Bourne Identity,60000000,119.0,214034224,7.3,3583,2002,US
Army of Darkness,11000000,81.0,0,7.3,838,1992,US
The Terminator,6400000,108.0,78371200,7.3,4128,1984,GB
Zodiac,65000000,157.0,84785914,7.3,2023,2007,US
Shine,0,105.0,0,7.3,131,1996,AU
The Bourne Ultimatum,70000000,115.0,442824138,7.3,2888,2007,DE
Cinderella Man,88000000,144.0,108539911,7.3,616,2005,US
Adaptation.,19000000,114.0,32801173,7.3,638,2002,US
Y Tu Mamá También,5000000,106.0,33616692,7.3,315,2001,MX
The Lunchbox,1000000,104.0,4235151,7.3,221,2013,IN
Volver,12899867,121.0,85582407,7.3,406,2006,ES
Shrek,60000000,90.0,484409218,7.3,4056,2001,US
Blood Diamond,100000000,143.0,170877916,7.3,2281,2006,DE
The Machinist,5000000,101.0,8203235,7.3,1247,2004,US
Predator,18000000,107.0,98235548,7.3,2093,1987,US
Sleepers,44000000,147.0,165615285,7.3,715,1996,US
Dawn of the Planet of the Apes,170000000,130.0,710644566,7.3,4410,2014,US
The Artist,15000000,100.0,133432856,7.3,1049,2011,BE
When Harry Met Sally...,16000000,96.0,92823546,7.3,950,1989,US
District 9,30000000,112.0,210819611,7.3,3382,2009,US
Tucker and Dale vs Evil,5000000,89.0,5476793,7.3,847,2010,CA
Sicko,9000000,123.0,24538513,7.3,235,2007,US
The Last Samurai,140000000,154.0,456758981,7.3,1895,2003,JP
Blow Out,18000000,108.0,12000000,7.3,236,1981,US
