child_number,gender,height,family
1,male,71.2,092
2,male,67.0,092
1,male,67.0,093
2,male,64.5,093
3,female,65.0,093
4,female,63.0,093
1,female,65.0,094
2,female,65.0,094
1,male,71.5,095
2,male,64.5,095
3,female,63.0,095
1,male,72.0,096
2,male,66.0,096
3,female,66.0,096
4,female,65.0,096
5,female,63.0,096
1,male,75.0,097
2,male,71.0,097
3,male,70.0,097
4,female,66.0,097
5,female,66.0,097
6,female,65.5,097
7,female,65.0,097
8,female,65.0,097
9,female,64.0,097
10,female,64.0,097
1,female,64.0,098
1,male,73.0,099
2,male,72.0,099
3,male,71.7,099
4,male,71.5,099
5,female,65.5,099
6,female,65.0,099
7,female,62.7,099
8,female,62.5,099
1,male,71.2,100
2,male,71.0,100
3,male,70.0,100
1,male,75.0,101
2,male,74.0,101
3,male,72.0,101
4,male,68.5,101
1,male,70.0,102
2,male,68.5,102
3,male,68.0,102
4,female,65.0,102
5,female,63.0,102
6,female,62.5,102
1,male,73.0,103
2,male,71.0,103
3,male,70.5,103
4,male,70.5,103
5,male,67.0,103
6,male,66.0,103
7,female,61.0,103
1,male,70.5,104
2,male,67.5,104
3,female,64.5,104
4,female,64.0,104
1,male,71.0,105
2,female,68.5,105
3,female,67.5,105
4,female,66.0,105
5,female,63.0,105
6,female,63.0,105
1,male,71.0,106
2,male,71.0,106
3,male,70.5,106
4,male,70.5,106
5,female,66.5,106
6,female,65.5,106
7,female,64.5,106
1,male,73.0,107
2,male,72.0,107
3,male,69.0,107
4,male,69.0,107
5,female,66.5,107
6,female,65.5,107
7,female,65.5,107
8,female,65.0,107
9,female,64.0,107
1,male,70.0,108
2,male,68.5,108
3,male,67.0,108
4,female,65.0,108
5,female,64.0,108
6,female,63.5,108
7,female,61.0,108
1,male,69.7,109
2,male,68.0,109
3,male,60.0,109
4,female,65.2,109
5,female,64.5,109
6,female,63.7,109
7,female,60.0,109
1,male,71.7,110
2,male,66.5,110
3,female,65.0,110
4,female,63.5,110
1,female,65.5,111
1,male,69.0,112
2,female,67.5,112
3,female,63.5,112
1,male,72.0,113
1,male,73.0,114
2,male,70.0,114
3,male,70.0,114
4,male,64.0,114
5,female,66.0,114
6,female,62.0,114
1,male,70.5,115
2,male,67.0,115
3,male,66.0,115
4,female,65.0,115
5,female,63.0,115
6,female,62.0,115
7,female,61.0,115
1,male,70.5,116
2,female,63.7,116
3,female,63.0,116
1,female,62.5,117
1,male,73.0,118
2,male,72.0,118
3,male,69.0,118
1,male,73.0,119
2,male,71.0,119
3,male,71.0,119
4,male,69.0,119
5,female,63.0,119
1,male,72.0,120
2,male,70.0,120
3,male,67.8,120
4,female,65.2,120
5,female,64.7,120
6,female,64.5,120
7,female,63.5,120
8,female,63.5,120
9,female,62.5,120
10,female,62.0,120
11,female,61.5,120
1,male,71.0,121
2,male,70.0,121
3,male,70.0,121
4,male,69.0,121
5,female,63.5,121
6,female,62.5,121
7,female,62.5,121
8,female,62.0,121
1,male,72.0,122
2,male,68.0,122
3,female,66.0,122
4,female,66.0,122
1,male,70.0,123
2,male,69.5,123
3,male,69.0,123
4,female,63.0,123
5,female,62.0,123
1,male,68.0,124
2,male,68.0,124
3,male,67.5,124
4,male,64.0,124
5,male,63.0,124
6,male,63.0,124
7,female,63.5,124
8,female,62.0,124
9,female,62.0,124
1,male,70.5,125
2,female,68.0,125
3,female,62.5,125
1,male,69.0,126
2,male,66.0,126
3,female,61.7,126
4,female,60.5,126
1,male,69.5,127
1,male,71.0,128
2,female,61.7,128
1,male,73.0,129
2,male,71.0,129
3,female,67.0,129
1,male,70.0,130
2,male,69.0,130
3,male,69.0,130
4,male,68.7,130
5,male,68.5,130
6,male,68.5,130
7,male,68.0,130
8,male,68.0,130
9,male,68.0,130
10,male,66.2,130
11,female,63.2,130
1,male,67.5,131
2,male,66.0,131
1,male,66.0,132
2,female,64.0,132
1,male,71.7,133
2,male,71.5,133
3,male,70.7,133
4,male,65.5,133
5,female,66.5,133
6,female,65.2,133
7,female,61.5,133
1,male,72.0,134
2,male,72.0,134
3,female,68.0,134
4,female,66.0,134
1,male,69.2,135
2,male,68.0,135
3,male,66.0,135
4,male,66.0,135
5,female,62.0,135
6,female,61.5,135
7,female,61.0,135
8,female,60.0,135
1,male,72.0,136A
2,male,70.5,136A
3,male,68.7,136A
4,male,68.5,136A
5,male,67.7,136A
6,female,64.0,136A
7,female,63.5,136A
8,female,63.0,136A
1,male,71.0,136
2,male,68.0,136
3,male,68.0,136
4,male,67.0,136
5,female,65.0,136
6,female,64.0,136
7,female,63.0,136
8,female,63.0,136
9,female,62.0,136
10,female,61.0,136
1,male,66.0,137
2,male,63.0,137
3,female,65.5,137
4,female,62.0,137
1,male,71.2,138
2,male,71.2,138
3,male,69.0,138
4,male,68.5,138
5,female,62.5,138
1,female,62.0,139
1,male,69.0,140
2,male,67.0,140
3,male,66.0,140
4,female,66.0,140
5,female,66.0,140
6,female,65.0,140
7,female,65.0,140
8,female,65.0,140
9,female,64.0,140
10,female,63.0,140
1,male,70.5,141
2,male,70.0,141
3,male,68.0,141
4,male,66.0,141
5,male,66.0,141
6,female,66.0,141
7,female,62.0,141
8,female,61.5,141
1,male,73.5,142
2,male,70.0,142
3,male,69.5,142
4,female,65.5,142
1,male,67.0,143
1,male,70.0,144
2,male,68.0,144
3,female,64.5,144
4,female,64.0,144
1,male,71.0,145
2,male,68.0,145
3,male,66.0,145
4,male,65.5,145
5,male,65.0,145
6,female,63.0,145
7,female,62.0,145
8,female,62.0,145
1,male,67.0,146
2,male,67.0,146
3,male,66.0,146
4,female,64.0,146
5,female,63.5,146
6,female,61.0,146
1,male,68.2,147
1,male,70.0,148
1,male,70.0,149
2,male,69.0,149
3,male,67.0,149
4,male,65.5,149
5,female,64.5,149
1,male,68.5,150
1,male,67.7,151
2,female,61.7,151
1,male,66.5,152
1,male,68.5,153
2,male,68.0,153
3,male,64.0,153
4,female,63.5,153
5,female,63.0,153
1,male,66.7,154
1,male,64.0,155
2,female,61.0,155
3,female,61.0,155
4,female,60.0,155
5,female,60.0,155
6,female,60.0,155
7,female,56.0,155
1,male,67.5,156
2,male,67.0,156
3,male,66.5,156
4,female,60.0,156
1,male,69.0,157
1,male,68.0,158
2,male,65.0,158
3,male,64.7,158
4,male,64.0,158
5,male,64.0,158
6,male,63.0,158
7,female,65.0,158
8,female,65.0,158
9,female,62.0,158
10,female,61.0,158
1,male,72.7,159
2,male,72.7,159
3,male,71.5,159
4,female,65.5,159
5,female,63.5,159
1,male,71.0,160
1,male,73.0,161
2,male,71.0,161
3,male,70.7,161
4,male,70.0,161
5,male,69.0,161
6,female,68.0,161
7,female,65.5,161
8,female,62.0,161
1,male,69.7,162
2,male,67.5,162
3,female,65.5,162
4,female,65.0,162
5,female,64.5,162
6,female,63.5,162
1,male,70.0,163
2,male,69.0,163
3,female,65.5,163
4,female,65.5,163
5,female,63.0,163
1,male,70.0,164
2,male,67.7,164
3,female,63.0,164
4,female,60.0,164
1,male,65.0,165
2,female,62.0,165
3,female,62.0,165
1,male,71.0,166
2,male,69.0,166
3,female,64.0,166
4,female,64.0,166
5,female,63.0,166
6,female,63.0,166
7,female,63.0,166
8,female,63.0,166
9,female,63.0,166
10,female,62.5,166
11,female,62.0,166
1,male,71.5,167
2,male,70.0,167
3,male,67.0,167
4,male,67.0,167
1,male,71.0,168
2,male,70.2,168
3,male,69.2,168
4,male,68.5,168
5,male,68.0,168
6,male,67.0,168
7,male,65.5,168
8,female,63.5,168
1,male,69.0,169
2,male,68.0,169
3,female,63.0,169
1,male,70.0,170
2,male,69.5,170
3,male,69.0,170
4,male,68.5,170
5,female,66.0,170
1,male,67.0,171
1,male,70.5,172
2,male,70.5,172
3,male,67.0,172
4,male,66.0,172
5,male,66.0,172
6,female,62.0,172
7,female,62.0,172
8,female,61.5,172
1,male,72.0,173
2,male,65.0,173
3,male,65.0,173
4,female,67.0,173
5,female,64.0,173
6,female,64.0,173
7,female,62.0,173
8,female,60.0,173
9,female,60.0,173
1,male,66.0,174
2,male,65.0,174
3,female,67.0,174
4,female,66.5,174
5,female,65.5,174
1,male,72.0,175
2,male,68.0,175
3,female,66.0,175
4,female,65.0,175
5,female,62.0,175
6,female,61.0,175
1,male,68.7,176
2,male,68.5,176
3,male,66.5,176
4,male,64.5,176
5,female,62.5,176
6,female,60.5,176
7,female,60.5,176
8,female,57.5,176
1,male,72.0,177
2,male,71.0,177
3,male,67.0,177
4,female,66.0,177
5,female,65.0,177
1,male,70.0,178
1,female,64.5,179
2,female,62.0,179
1,male,67.2,180
2,male,67.0,180
3,male,65.0,180
4,female,65.0,180
5,female,65.0,180
6,female,63.0,180
1,male,70.0,181
2,male,68.0,181
3,female,63.5,181
4,female,62.5,181
5,female,62.5,181
6,female,62.5,181
7,female,62.5,181
1,male,70.0,182
1,male,68.0,183
2,male,67.0,183
3,male,65.0,183
4,female,60.0,183
1,male,65.0,184
1,male,68.0,185
2,male,67.0,185
3,male,66.5,185
4,male,66.0,185
5,male,65.7,185
6,male,65.5,185
7,male,65.0,185
8,female,65.0,185
9,female,64.0,185
10,female,63.0,185
11,female,62.0,185
12,female,61.0,185
13,female,60.0,185
14,female,58.0,185
15,female,57.0,185
1,male,66.5,186
2,male,66.0,186
3,male,66.0,186
4,female,65.0,186
1,female,63.0,187
1,male,63.0,188
2,female,63.0,188
3,female,63.0,188
4,female,60.0,188
1,male,67.0,189
2,male,66.0,189
3,male,65.0,189
4,female,65.0,189
5,female,61.0,189
1,male,69.0,190
2,male,68.0,190
3,male,68.0,190
4,female,65.0,190
5,female,65.0,190
6,female,62.0,190
7,female,62.0,190
8,female,61.0,190
9,female,59.0,190
1,male,70.7,191
2,female,65.5,191
1,male,69.2,192
2,male,69.0,192
3,male,68.0,192
4,male,67.7,192
5,female,64.5,192
6,female,60.5,192
1,male,67.0,193
2,male,67.0,193
3,female,64.0,193
4,female,64.0,193
5,female,62.5,193
6,female,60.5,193
1,male,70.0,194
2,female,63.0,194
1,male,66.0,195
2,male,66.0,195
3,female,63.0,195
1,male,71.0,196
2,male,71.0,196
3,male,69.0,196
4,female,63.5,196
1,male,68.0,197
2,male,68.0,197
3,male,67.0,197
4,male,67.0,197
5,female,62.0,197
1,male,71.5,198
2,male,68.0,198
3,female,65.5,198
4,female,64.0,198
5,female,62.0,198
6,female,62.0,198
7,female,61.0,198
1,male,70.5,199
2,male,68.0,199
3,female,67.0,199
4,female,65.0,199
5,female,64.0,199
6,female,64.0,199
7,female,60.0,199
1,male,64.5,200
1,male,66.0,201
2,female,60.0,201
1,female,68.5,202
2,female,63.5,202
1,male,64.0,203
2,female,62.0,203
3,female,61.0,203
1,male,66.5,204
2,female,57.0,204
