Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Address1,Address2,Postcode,Email
Olukemi,Badenoch,Kemi Badenoch,"Badenoch, Kemi",Conservative,Saffron Walden,House of Commons,London,SW1A 0AA,kemi.badenoch.mp@parliament.uk
Shaun,Bailey,Shaun Bailey,"Bailey, Shaun",Conservative,West Bromwich West,House of Commons,London,SW1A 0AA,shaun.bailey.mp@parliament.uk
Siobhan,Baillie,Siobhan Baillie,"Baillie, Siobhan",Conservative,Stroud,House of Commons,London,SW1A 0AA,siobhan.baillie.mp@parliament.uk
Duncan,Baker,Duncan Baker,"Baker, Duncan",Conservative,North Norfolk,House of Commons,London,SW1A 0AA,duncan@duncanbaker.org.uk
Steven,Baker,Mr Steve Baker,"Baker, Mr Steve",Conservative,Wycombe,House of Commons,London,SW1A 0AA,steve.baker.mp@parliament.uk
Harriett,Baldwin,Harriett Baldwin,"Baldwin, Harriett",Conservative,West Worcestershire,House of Commons,London,SW1A 0AA,harriett.baldwin.mp@parliament.uk
Stephen,Barclay,Steve Barclay,"Barclay, Steve",Conservative,North East Cambridgeshire,House of Commons,London,SW1A 0AA,stephen.barclay.mp@parliament.uk
Hannah,Bardell,Hannah Bardell,"Bardell, Hannah",Scottish National Party,Livingston,House of Commons,London,SW1A 0AA,hannah.bardell.mp@parliament.uk
Paula,Barker,Paula Barker,"Barker, Paula",Labour,"Liverpool, Wavertree",House of Commons,London,SW1A 0AA,paula.barker.mp@parliament.uk
John,Baron,Mr John Baron,"Baron, Mr John",Conservative,Basildon and Billericay,House of Commons,London,SW1A 0AA,baronj@parliament.uk
Simon,Baynes,Simon Baynes,"Baynes, Simon",Conservative,Clwyd South,House of Commons,London,SW1A 0AA,simon.baynes.mp@parliament.uk
Margaret,Beckett,Margaret Beckett,"Beckett, Margaret",Labour,Derby South,House of Commons,London,SW1A 0AA,margaret.beckett.mp@parliament.uk
Órfhlaith,Begley,Órfhlaith Begley,"Begley, Órfhlaith",Sinn Féin,West Tyrone,House of Commons,London,SW1A 0AA,
Apsana,Begum,Apsana Begum,"Begum, Apsana",Labour,Poplar and Limehouse,House of Commons,London,SW1A 0AA,apsana.begum.mp@parliament.uk
Aaron,Bell,Aaron Bell,"Bell, Aaron",Conservative,Newcastle-under-Lyme,House of Commons,London,SW1A 0AA,aaron.bell.mp@parliament.uk
Hilary,Benn,Hilary Benn,"Benn, Hilary",Labour,Leeds Central,House of Commons,London,SW1A 0AA,bennh@parliament.uk
Scott,Benton,Scott Benton,"Benton, Scott",Conservative,Blackpool South,House of Commons,London,SW1A 0AA,scott.benton.mp@parliament.uk
Alexander,Beresford,Sir Paul Beresford,"Beresford, Sir Paul",Conservative,Mole Valley,House of Commons,London,SW1A 0AA,annie.winsbury@parliament.uk
James,Berry,Jake Berry,"Berry, Jake",Conservative,Rossendale and Darwen,House of Commons,London,SW1A 0AA,jake.berry.mp@parliament.uk
Clive,Betts,Mr Clive Betts,"Betts, Mr Clive",Labour,Sheffield South East,House of Commons,London,SW1A 0AA,officeofclivebettsmp@parliament.uk
Mohammad Saqib,Bhatti,Saqib Bhatti,"Bhatti, Saqib",Conservative,Meriden,House of Commons,London,SW1A 0AA,saqib.bhatti@parliament.uk
Mhairi,Black,Mhairi Black,"Black, Mhairi",Scottish National Party,Paisley and Renfrewshire South,House of Commons,London,SW1A 0AA,mhairi.black.mp@parliament.uk
Ian,Blackford,Ian Blackford,"Blackford, Ian",Scottish National Party,"Ross, Skye and Lochaber",House of Commons,London,SW1A 0AA,ian.blackford.mp@parliament.uk
Robert,Blackman,Bob Blackman,"Blackman, Bob",Conservative,Harrow East,House of Commons,London,SW1A 0AA,bob.blackman.mp@parliament.uk
Kirsty,Blackman,Kirsty Blackman,"Blackman, Kirsty",Scottish National Party,Aberdeen North,House of Commons,London,SW1A 0AA,kirsty.blackman.mp@parliament.uk
Olivia,Blake Dagnall,Olivia Blake,"Blake, Olivia",Labour,"Sheffield, Hallam",House of Commons,London,SW1A 0AA,olivia.blake.mp@parliament.uk
Paul,Blomfield,Paul Blomfield,"Blomfield, Paul",Labour,Sheffield Central,House of Commons,London,SW1A 0AA,paul.blomfield.mp@parliament.uk
Crispin,Blunt,Crispin Blunt,"Blunt, Crispin",Conservative,Reigate,House of Commons,London,SW1A 0AA,crispinbluntmp@parliament.uk
Peter,Bone,Mr Peter Bone,"Bone, Mr Peter",Conservative,Wellingborough,House of Commons,London,SW1A 0AA,bonep@parliament.uk
Steven,Bonnar,Steven Bonnar,"Bonnar, Steven",Scottish National Party,"Coatbridge, Chryston and Bellshill",House of Commons,London,SW1A 0AA,steven.bonnar.mp@parliament.uk
Peter,Bottomley,Sir Peter Bottomley,"Bottomley, Sir Peter",Conservative,Worthing West,House of Commons,London,SW1A 0AA,bottomleyp@parliament.uk
Andrew,Bowie,Andrew Bowie,"Bowie, Andrew",Conservative,West Aberdeenshire and Kincardine,House of Commons,London,SW1A 0AA,andrew.bowie.mp@parliament.uk
Tracy,Brabin,Tracy Brabin,"Brabin, Tracy",Labour,Batley and Spen,House of Commons,London,SW1A 0AA,tracy.brabin.mp@parliament.uk
Benjamin,Bradley,Ben Bradley,"Bradley, Ben",Conservative,Mansfield,House of Commons,London,SW1A 0AA,ben.bradley.mp@parliament.uk
Karen,Bradley,Karen Bradley,"Bradley, Karen",Conservative,Staffordshire Moorlands,House of Commons,London,SW1A 0AA,karen.bradley.mp@parliament.uk
Benjamin,Bradshaw,Mr Ben Bradshaw,"Bradshaw, Mr Ben",Labour,Exeter,House of Commons,London,SW1A 0AA,bradshawb@parliament.uk
Michael,Brady,Mickey Brady,"Brady, Mickey",Sinn Féin,Newry and Armagh,House of Commons,London,SW1A 0AA,mickey.brady.mp@parliament.uk
Graham,Brady,Sir Graham Brady,"Brady, Sir Graham",Conservative,Altrincham and Sale West,House of Commons,London,SW1A 0AA,altsale@parliament.uk
Sue-Ellen,Braverman,Suella Braverman,"Braverman, Suella",Conservative,Fareham,House of Commons,London,SW1A 0AA,suella.braverman.mp@parliament.uk
Kevin,Brennan,Kevin Brennan,"Brennan, Kevin",Labour,Cardiff West,House of Commons,London,SW1A 0AA,brennank@parliament.uk
Jack,Brereton,Jack Brereton,"Brereton, Jack",Conservative,Stoke-on-Trent South,House of Commons,London,SW1A 0AA,jack.brereton.mp@parliament.uk
Andrew,Bridgen,Andrew Bridgen,"Bridgen, Andrew",Conservative,North West Leicestershire,House of Commons,London,SW1A 0AA,andrew.bridgen.mp@parliament.uk
Stephen,Brine,Steve Brine,"Brine, Steve",Conservative,Winchester,House of Commons,London,SW1A 0AA,steve.brine.mp@parliament.uk
Paul,Bristow,Paul Bristow,"Bristow, Paul",Conservative,Peterborough,House of Commons,London,SW1A 0AA,paul.bristow.mp@parliament.uk
Sara,Britcliffe,Sara Britcliffe,"Britcliffe, Sara",Conservative,Hyndburn,House of Commons,London,SW1A 0AA,sara.britcliffe.mp@parliament.uk
Deidre,Brock,Deidre Brock,"Brock, Deidre",Scottish National Party,Edinburgh North and Leith,House of Commons,London,SW1A 0AA,deidre.brock.mp@parliament.uk
James,Brokenshire,James Brokenshire,"Brokenshire, James",Conservative,Old Bexley and Sidcup,House of Commons,London,SW1A 0AA,james.brokenshire.mp@parliament.uk
Alan,Brown,Alan Brown,"Brown, Alan",Scottish National Party,Kilmarnock and Loudoun,House of Commons,London,SW1A 0AA,alan.brown.mp@parliament.uk
Nicholas,Brown,Mr Nicholas Brown,"Brown, Mr Nicholas",Labour,Newcastle upon Tyne East,House of Commons,London,SW1A 0AA,nickbrownmp@parliament.uk
Lyn,Brown,Ms Lyn Brown,"Brown, Ms Lyn",Labour,West Ham,House of Commons,London,SW1A 0AA,brownl@parliament.uk
Anthony,Browne,Anthony Browne,"Browne, Anthony",Conservative,South Cambridgeshire,House of Commons,London,SW1A 0AA,anthony.browne.mp@parliament.uk
Fiona,Bruce,Fiona Bruce,"Bruce, Fiona",Conservative,Congleton,House of Commons,London,SW1A 0AA,fiona.bruce.mp@parliament.uk
Christopher,Bryant,Chris Bryant,"Bryant, Chris",Labour,Rhondda,House of Commons,London,SW1A 0AA,bryantc@parliament.uk
Felicity,Buchan,Felicity Buchan,"Buchan, Felicity",Conservative,Kensington,House of Commons,London,SW1A 0AA,felicity.buchan.mp@parliament.uk
Karen,Buck,Ms Karen Buck,"Buck, Ms Karen",Labour,Westminster North,House of Commons,London,SW1A 0AA,buckk@parliament.uk
Robert,Buckland,Robert Buckland,"Buckland, Robert",Conservative,South Swindon,House of Commons,London,SW1A 0AA,robert.buckland.mp@parliament.uk
Michael,Burghart,Alex Burghart,"Burghart, Alex",Conservative,Brentwood and Ongar,House of Commons,London,SW1A 0AA,alex.burghart.mp@parliament.uk
Richard,Burgon,Richard Burgon,"Burgon, Richard",Labour,Leeds East,House of Commons,London,SW1A 0AA,richard@richardburgon.com
Conor,Burns,Conor Burns,"Burns, Conor",Conservative,Bournemouth West,House of Commons,London,SW1A 0AA,conor.burns.mp@parliament.uk
Dawn,Butler,Dawn Butler,"Butler, Dawn",Labour,Brent Central,House of Commons,London,SW1A 0AA,dawn.butler.mp@parliament.uk
Robert,Butler,Rob Butler,"Butler, Rob",Conservative,Aylesbury,House of Commons,London,SW1A 0AA,rob.butler.mp@parliament.uk
Ian,Byrne,Ian Byrne,"Byrne, Ian",Labour,"Liverpool, West Derby",House of Commons,London,SW1A 0AA,ian.byrne.mp@parliament.uk
Liam,Byrne,Liam Byrne,"Byrne, Liam",Labour,"Birmingham, Hodge Hill",House of Commons,London,SW1A 0AA,byrnel@parliament.uk
Ruth,Cadbury,Ruth Cadbury,"Cadbury, Ruth",Labour,Brentford and Isleworth,House of Commons,London,SW1A 0AA,ruthcadburymp@parliament.uk
Alun,Cairns,Alun Cairns,"Cairns, Alun",Conservative,Vale of Glamorgan,House of Commons,London,SW1A 0AA,alun.cairns.mp@parliament.uk
Amy,Callaghan,Amy Callaghan,"Callaghan, Amy",Scottish National Party,East Dunbartonshire,House of Commons,London,SW1A 0AA,amy.callaghan.mp@parliament.uk
Lisa,Cameron,Dr Lisa Cameron,"Cameron, Dr Lisa",Scottish National Party,"East Kilbride, Strathaven and Lesmahagow",House of Commons,London,SW1A 0AA,lisa.cameron.mp@parliament.uk
Gregory,Campbell,Mr Gregory Campbell,"Campbell, Mr Gregory",Democratic Unionist Party,East Londonderry,House of Commons,London,SW1A 0AA,fieldingm@parliament.uk
Alan,Campbell,Sir Alan Campbell,"Campbell, Sir Alan",Labour,Tynemouth,House of Commons,London,SW1A 0AA,alan.campbell.mp@parliament.uk
Daniel,Carden,Dan Carden,"Carden, Dan",Labour,"Liverpool, Walton",House of Commons,London,SW1A 0AA,dan.carden.mp@parliament.uk
Alexander,Carmichael,Mr Alistair Carmichael,"Carmichael, Mr Alistair",Liberal Democrat,Orkney and Shetland,House of Commons,London,SW1A 0AA,carmichaela@parliament.uk
Andrew,Carter,Andy Carter,"Carter, Andy",Conservative,Warrington South,House of Commons,London,SW1A 0AA,andy.carter.mp@parliament.uk
James,Cartlidge,James Cartlidge,"Cartlidge, James",Conservative,South Suffolk,House of Commons,London,SW1A 0AA,james.cartlidge.mp@parliament.uk
William,Cash,Sir William Cash,"Cash, Sir William",Conservative,Stone,House of Commons,London,SW1A 0AA,cashw@parliament.uk
Miriam,Cates,Miriam Cates,"Cates, Miriam",Conservative,Penistone and Stocksbridge,House of Commons,London,SW1A 0AA,miriam.cates.mp@parliament.uk
Maria,Caulfield,Maria Caulfield,"Caulfield, Maria",Conservative,Lewes,House of Commons,London,SW1A 0AA,maria.caulfield.mp@parliament.uk
Alexander,Chalk,Alex Chalk,"Chalk, Alex",Conservative,Cheltenham,House of Commons,London,SW1A 0AA,alex.chalk.mp@parliament.uk
Wendy,Chamberlain,Wendy Chamberlain,"Chamberlain, Wendy",Liberal Democrat,North East Fife,House of Commons,London,SW1A 0AA,wendy.chamberlain.mp@parliament.uk
Sarah,Champion,Sarah Champion,"Champion, Sarah",Labour,Rotherham,House of Commons,London,SW1A 0AA,sarah.champion.mp@parliament.uk
Douglas,Chapman,Douglas Chapman,"Chapman, Douglas",Scottish National Party,Dunfermline and West Fife,House of Commons,London,SW1A 0AA,douglas.chapman.mp@parliament.uk
Charalambos,Charalambous,Bambos Charalambous,"Charalambous, Bambos",Labour,"Enfield, Southgate",House of Commons,London,SW1A 0AA,bambos.charalambous.mp@parliament.uk
Joanna,Cherry,Joanna Cherry,"Cherry, Joanna",Scottish National Party,Edinburgh South West,House of Commons,London,SW1A 0AA,joanna.cherry.mp@parliament.uk
Atta-Ur-Rehman,Chishti,Rehman Chishti,"Chishti, Rehman",Conservative,Gillingham and Rainham,House of Commons,London,SW1A 0AA,rehman.chishti.mp@parliament.uk
Christopher,Chope,Sir Christopher Chope,"Chope, Sir Christopher",Conservative,Christchurch,House of Commons,London,SW1A 0AA,chopec@parliament.uk
Johanna,Churchill,Jo Churchill,"Churchill, Jo",Conservative,Bury St Edmunds,House of Commons,London,SW1A 0AA,jo.churchill.mp@parliament.uk
Feryal,Clark,Feryal Clark,"Clark, Feryal",Labour,Enfield North,House of Commons,London,SW1A 0AA,feryal.clark.mp@parliament.uk
Gregory,Clark,Greg Clark,"Clark, Greg",Conservative,Tunbridge Wells,House of Commons,London,SW1A 0AA,gregclarkmp@parliament.uk
Simon,Clarke,Mr Simon Clarke,"Clarke, Mr Simon",Conservative,Middlesbrough South and East Cleveland,House of Commons,London,SW1A 0AA,simon.clarke.mp@parliament.uk
Theodora,Clarke,Theo Clarke,"Clarke, Theo",Conservative,Stafford,House of Commons,London,SW1A 0AA,theo.clarke.mp@parliament.uk
Brendan,Clarke-Smith,Brendan Clarke-Smith,"Clarke-Smith, Brendan",Conservative,Bassetlaw,House of Commons,London,SW1A 0AA,brendan.clarkesmith.mp@parliament.uk
Christopher,Clarkson,Chris Clarkson,"Clarkson, Chris",Conservative,Heywood and Middleton,House of Commons,London,SW1A 0AA,chris.clarkson.mp@parliament.uk
James,Cleverly,James Cleverly,"Cleverly, James",Conservative,Braintree,House of Commons,London,SW1A 0AA,james.cleverly.mp@parliament.uk
Geoffrey,Clifton-Brown,Sir Geoffrey Clifton-Brown,"Clifton-Brown, Sir Geoffrey",Conservative,The Cotswolds,House of Commons,London,SW1A 0AA,cliftonbrowng@parliament.uk
Thérèse,Coffey,Dr Thérèse Coffey,"Coffey, Dr Thérèse",Conservative,Suffolk Coastal,House of Commons,London,SW1A 0AA,therese.coffey.mp@parliament.uk
Elliot,Colburn,Elliot Colburn,"Colburn, Elliot",Conservative,Carshalton and Wallington,House of Commons,London,SW1A 0AA,elliot.colburn.mp@parliament.uk
Damian,Collins,Damian Collins,"Collins, Damian",Conservative,Folkestone and Hythe,House of Commons,London,SW1A 0AA,damian.collins.mp@parliament.uk
Daisy,Cooper,Daisy Cooper,"Cooper, Daisy",Liberal Democrat,St Albans,House of Commons,London,SW1A 0AA,daisy.cooper.mp@parliament.uk
Rosemary,Cooper,Rosie Cooper,"Cooper, Rosie",Labour,West Lancashire,House of Commons,London,SW1A 0AA,
Yvette,Cooper,Yvette Cooper,"Cooper, Yvette",Labour,"Normanton, Pontefract and Castleford",House of Commons,London,SW1A 0AA,coopery@parliament.uk
Jeremy,Corbyn,Jeremy Corbyn,"Corbyn, Jeremy",Independent,Islington North,House of Commons,London,SW1A 0AA,jeremy.corbyn.mp@parliament.uk
Alberto,Costa,Alberto Costa,"Costa, Alberto",Conservative,South Leicestershire,House of Commons,London,SW1A 0AA,alberto.costa.mp@parliament.uk
Robert,Courts,Robert Courts,"Courts, Robert",Conservative,Witney,House of Commons,London,SW1A 0AA,robert.courts.mp@parliament.uk
Claire,Coutinho,Claire Coutinho,"Coutinho, Claire",Conservative,East Surrey,House of Commons,London,SW1A 0AA,claire.coutinho.mp@parliament.uk
Ronald,Cowan,Ronnie Cowan,"Cowan, Ronnie",Scottish National Party,Inverclyde,House of Commons,London,SW1A 0AA,ronnie.cowan.mp@parliament.uk
Charles,Cox,Mr Geoffrey Cox,"Cox, Mr Geoffrey",Conservative,Torridge and West Devon,House of Commons,London,SW1A 0AA,coxg@parliament.uk
Neil,Coyle,Neil Coyle,"Coyle, Neil",Labour,Bermondsey and Old Southwark,House of Commons,London,SW1A 0AA,neil.coyle.mp@parliament.uk
Stephen,Crabb,Stephen Crabb,"Crabb, Stephen",Conservative,Preseli Pembrokeshire,House of Commons,London,SW1A 0AA,stephen.crabb.mp@parliament.uk
Angela,Crawley,Angela Crawley,"Crawley, Angela",Scottish National Party,Lanark and Hamilton East,House of Commons,London,SW1A 0AA,angela.crawley.mp@parliament.uk
Stella,Creasy,Stella Creasy,"Creasy, Stella",Labour,Walthamstow,House of Commons,London,SW1A 0AA,stella.creasy.mp@parliament.uk
Virginia,Crosbie,Virginia Crosbie,"Crosbie, Virginia",Conservative,Ynys Môn,House of Commons,London,SW1A 0AA,virginia.crosbie.mp@parliament.uk
Tracey,Crouch,Tracey Crouch,"Crouch, Tracey",Conservative,Chatham and Aylesford,House of Commons,London,SW1A 0AA,tracey.crouch.mp@parliament.uk
Jonathan,Cruddas,Jon Cruddas,"Cruddas, Jon",Labour,Dagenham and Rainham,House of Commons,London,SW1A 0AA,cruddasj@parliament.uk
John,Cryer,John Cryer,"Cryer, John",Labour,Leyton and Wanstead,House of Commons,London,SW1A 0AA,john.cryer.mp@parliament.uk
Judith,Cummins,Judith Cummins,"Cummins, Judith",Labour,Bradford South,House of Commons,London,SW1A 0AA,judith.cummins.mp@parliament.uk
Alexander,Cunningham,Alex Cunningham,"Cunningham, Alex",Labour,Stockton North,House of Commons,London,SW1A 0AA,alex.cunningham.mp@parliament.uk
Janet,Daby,Janet Daby,"Daby, Janet",Labour,Lewisham East,House of Commons,London,SW1A 0AA,janet.daby.mp@parliament.uk
James,Daly,James Daly,"Daly, James",Conservative,Bury North,House of Commons,London,SW1A 0AA,james.daly.mp@parliament.uk
Edward,Davey,Ed Davey,"Davey, Ed",Liberal Democrat,Kingston and Surbiton,House of Commons,London,SW1A 0AA,edward.davey.mp@parliament.uk
Wayne,David,Wayne David,"David, Wayne",Labour,Caerphilly,House of Commons,London,SW1A 0AA,davidw@parliament.uk
David,Davies,David T C Davies,"Davies, David T C",Conservative,Monmouth,House of Commons,London,SW1A 0AA,david.davies.mp@parliament.uk
James,Davies,Dr James Davies,"Davies, Dr James",Conservative,Vale of Clwyd,House of Commons,London,SW1A 0AA,james.davies.mp@parliament.uk
Gareth,Davies,Gareth Davies,"Davies, Gareth",Conservative,Grantham and Stamford,House of Commons,London,SW1A 0AA,gareth.davies.mp@parliament.uk
Geraint,Davies,Geraint Davies,"Davies, Geraint",Labour,Swansea West,House of Commons,London,SW1A 0AA,geraint.davies.mp@parliament.uk
Miriam,Davies,Mims Davies,"Davies, Mims",Conservative,Mid Sussex,House of Commons,London,SW1A 0AA,mims.davies.mp@parliament.uk
Philip,Davies,Philip Davies,"Davies, Philip",Conservative,Shipley,House of Commons,London,SW1A 0AA,daviesp@parliament.uk
Alexandra,Davies-Jones,Alex Davies-Jones,"Davies-Jones, Alex",Labour,Pontypridd,House of Commons,London,SW1A 0AA,alex.daviesjones.mp@parliament.uk
David,Davis,Mr David Davis,"Davis, Mr David",Conservative,Haltemprice and Howden,House of Commons,London,SW1A 0AA,david.davis.mp@parliament.uk
Dehenna,Fareham,Dehenna Davison,"Davison, Dehenna",Conservative,Bishop Auckland,House of Commons,London,SW1A 0AA,dehenna.davison.mp@parliament.uk
Martyn,Day,Martyn Day,"Day, Martyn",Scottish National Party,Linlithgow and East Falkirk,House of Commons,London,SW1A 0AA,martyn.day.mp@parliament.uk
Marsha,De Cordova,Marsha De Cordova,"De Cordova, Marsha",Labour,Battersea,House of Commons,London,SW1A 0AA,marsha.decordova.mp@parliament.uk
Thangam,Debbonaire,Thangam Debbonaire,"Debbonaire, Thangam",Labour,Bristol West,House of Commons,London,SW1A 0AA,thangam.debbonaire.mp@parliament.uk
Tanmanjeet,Dhesi,Mr Tanmanjeet Singh Dhesi,"Dhesi, Mr Tanmanjeet Singh",Labour,Slough,House of Commons,London,SW1A 0AA,tan.dhesi.mp@parliament.uk
Caroline,Dinenage,Caroline Dinenage,"Dinenage, Caroline",Conservative,Gosport,House of Commons,London,SW1A 0AA,caroline.dinenage.mp@parliament.uk
Sarah,Dines,Miss Sarah Dines,"Dines, Miss Sarah",Conservative,Derbyshire Dales,House of Commons,London,SW1A 0AA,sarah.dines.mp@parliament.uk
Jonathan,Djanogly,Mr Jonathan Djanogly,"Djanogly, Mr Jonathan",Conservative,Huntingdon,House of Commons,London,SW1A 0AA,jonathan.djanogly.mp@parliament.uk
Leo,Docherty,Leo Docherty,"Docherty, Leo",Conservative,Aldershot,House of Commons,London,SW1A 0AA,leo.docherty.mp@parliament.uk
Martin,Docherty-Hughes,Martin Docherty-Hughes,"Docherty-Hughes, Martin",Scottish National Party,West Dunbartonshire,House of Commons,London,SW1A 0AA,martin.docherty.mp@parliament.uk
Anneliese,Dodds,Anneliese Dodds,"Dodds, Anneliese",Labour,Oxford East,House of Commons,London,SW1A 0AA,anneliese.dodds.mp@parliament.uk
Jeffrey,Donaldson,Sir Jeffrey M Donaldson,"Donaldson, Sir Jeffrey M",Democratic Unionist Party,Lagan Valley,House of Commons,London,SW1A 0AA,jeffrey.donaldson.mp@parliament.uk
Michelle,Donelan,Michelle Donelan,"Donelan, Michelle",Conservative,Chippenham,House of Commons,London,SW1A 0AA,michelle.donelan.mp@parliament.uk
David,Doogan,Dave Doogan,"Doogan, Dave",Scottish National Party,Angus,House of Commons,London,SW1A 0AA,dave.doogan.mp@parliament.uk
Allan,Dorans,Allan Dorans,"Dorans, Allan",Scottish National Party,"Ayr, Carrick and Cumnock",House of Commons,London,SW1A 0AA,allan.dorans.mp@parliament.uk
Nadine,Dorries,Ms Nadine Dorries,"Dorries, Ms Nadine",Conservative,Mid Bedfordshire,House of Commons,London,SW1A 0AA,dorriesn@parliament.uk
Stephen,Double,Steve Double,"Double, Steve",Conservative,St Austell and Newquay,House of Commons,London,SW1A 0AA,steve.double.mp@parliament.uk
Stephen,Doughty,Stephen Doughty,"Doughty, Stephen",Labour,Cardiff South and Penarth,House of Commons,London,SW1A 0AA,stephen.doughty.mp@parliament.uk
Peter,Dowd,Peter Dowd,"Dowd, Peter",Labour,Bootle,House of Commons,London,SW1A 0AA,peter.dowd.mp@parliament.uk
Oliver,Dowden,Oliver Dowden,"Dowden, Oliver",Conservative,Hertsmere,House of Commons,London,SW1A 0AA,oliver.dowden.mp@parliament.uk
Jacqueline,Doyle-Price,Jackie Doyle-Price,"Doyle-Price, Jackie",Conservative,Thurrock,House of Commons,London,SW1A 0AA,jackie.doyleprice.mp@parliament.uk
Richard,Plunkett-Ernle-Erle-Drax,Richard Drax,"Drax, Richard",Conservative,South Dorset,House of Commons,London,SW1A 0AA,richard.drax.mp@parliament.uk
John,Dromey,Jack Dromey,"Dromey, Jack",Labour,"Birmingham, Erdington",House of Commons,London,SW1A 0AA,jack.dromey.mp@parliament.uk
Felicia,Drummond,Mrs Flick Drummond,"Drummond, Mrs Flick",Conservative,Meon Valley,House of Commons,London,SW1A 0AA,flick.drummond.mp@parliament.uk
James,Duddridge,James Duddridge,"Duddridge, James",Conservative,Rochford and Southend East,House of Commons,London,SW1A 0AA,james@jamesduddridge.com
Rosemary,Duffield,Rosie Duffield,"Duffield, Rosie",Labour,Canterbury,House of Commons,London,SW1A 0AA,rosie.duffield.mp@parliament.uk
David,Duguid,David Duguid,"Duguid, David",Conservative,Banff and Buchan,House of Commons,London,SW1A 0AA,david.duguid.mp@parliament.uk
